Cause,1657,1658,1659,1660,1661,1662,1663,1664,1665,1666,1667
Abortive and Stillborne,463,467,421,544,511,523,550,523,617,477,488
Aged*,869,1176,909,1095,1302,1215,1171,1154,1545,611,952
Ague,null,null,null,null,null,null,null,null,null,null,31
Apoplexy,null,null,null,null,null,null,null,null,null,null,11
Ague and Fever*,997,1800,2303,2148,3490,2601,2107,2258,5257,741,null
Apoplexy and Suddenly,113,138,91,68,108,86,99,95,116,57,null
Blafted and Planet,5,5,3,8,null,null,null,null,null,null,null
Bedridden*,null,null,null,null,3,1,6,3,10,null,4
Bleeding*,5,4,7,2,5,2,2,4,16,1,5
Blasted,null,null,null,null,null,null,null,1,5,null,null
Bloody Flux and Flux,null,null,null,null,null,null,null,null,null,null,94
"Bloody Flux, Scowring and Flux*",362,233,346,251,314,203,192,269,165,82,null
Burnt and Scalded,7,4,6,6,4,4,14,3,8,11,7
Calenture,3,0,null,null,null,null,null,null,3,2,2
"Cancer, Gangrene and Fisula",null,null,63,52,69,54,59,57,56,48,65
Cancer and Wolfe,24,35,null,null,null,null,null,null,null,null,null
"Canker, sore Mouth and Thrush",null,null,73,68,95,71,null,null,null,null,null
Canker and Thrush,null,null,null,null,null,null,null,63,111,103,90
"Canker, Thrush and Wolf",null,null,null,null,null,null,58,58,null,null,null
Childbed,236,225,226,194,224,175,206,250,625,253,262
Calenture,null,null,null,null,null,1,null,null,null,null,null
Choaked,null,null,null,null,null,null,1,1,null,null,null
Chrisomes,null,null,null,null,null,null,null,null,null,null,490
Chrisomes and Infants,1162,1144,858,1123,1400,1315,1299,1491,1258,749,null
Cold and Cough,30,31,null,null,null,29,null,27,134,32,null
"Cold, Cough and Hiccough",null,null,33,24,14,null,null,null,null,null,45
Collick and Wind,113,179,116,167,186,142,115,120,134,40,54
Consumption and Tissick,2757,3610,2982,3414,3788,3485,3260,3645,4808,2592,3087
Convulsion and Cramp,807,841,null,null,null,null,null,null,null,null,null
Convulsion,null,null,742,1031,1198,1053,1011,1181,null,825,1210
Convulsion and Mother,null,null,null,null,null,null,null,null,2036,null,null
Cough,null,null,null,null,null,null,20,null,null,null,null
Cut of the Stone and Stone*,3,5,46,48,36,34,58,45,null,67,34
Dropsy and Tympany*,631,931,646,872,967,990,934,1079,1478,983,1134
Distracted,null,null,null,null,null,null,6,6,5,1,2
Drowned,63,60,57,48,57,43,56,62,50,68,72
Executed,20,18,7,18,16,14,31,38,21,10,9
Falling Sickness,1,0,4,5,null,null,null,1,null,null,4
Fever,null,null,null,null,null,null,null,null,null,null,916
Fistula and Gangrene,19,27,null,null,null,null,null,null,null,null,null
Frighted,null,null,null,9,2,1,null,null,23,16,7
Flox and Small Pox,835,409,1523,354,1246,768,411,1233,655,38,1196
"Found dead in the Streets, Fields*",9,11,2,6,8,12,8,6,20,10,10
French Pox,25,53,51,31,44,44,72,80,86,49,65
Gout,8,13,4,2,,8,9,null,null,null,null
Gout and Sciatica,null,null,null,null,11,null,null,12,27,14,14
Grief*,10,12,13,4,17,6,5,7,46,11,11
Green Sickness,null,null,null,null,null,null,1,null,null,null,null
Griping and Plague in the Guts,446,313,null,null,null,null,null,null,null,null,null
Griping in the Guts,null,null,253,402,1061,835,866,1146,1288,676,2108
Hang'd and made away 'emselves,24,18,11,36,13,14,12,18,7,9,9
Headmouldshot,null,null,null,null,null,null,null,null,null,1,null
Head-ach,null,null,null,null,null,null,null,null,null,null,null
Head-ach and Head-mouldshot,4,5,35,26,null,null,null,null,null,null,null
Headmouldshot and Mouldfallen,null,null,null,null,28,34,25,19,14,null,null
Jaundies,46,77,102,76,141,76,55,72,110,90,74
Jawfallen,null,null,null,null,2,2,null,1,null,null,2
Jawsalne,3,1,null,null,null,null,null,null,null,null,null
Impsthume*,80,134,105,96,160,113,109,111,227,72,90
Infants,null,null,null,null,null,null,null,null,null,null,411
Killed by serveral Accidents*,52,47,55,47,26,46,44,48,46,43,63
King's Evil,23,28,28,54,48,49,42,47,86,26,38
Leprosy and Itch,null,null,null,null,null,null,null,null,null,2,null
Leprosy*,0,1,null,2,1,null,null,null,2,null,null
Lethargy,6,2,6,null,11,9,9,10,14,7,4
Livergrown*,38,51,8,15,19,null,23,23,null,5,null
Lunatick and Frenzy,13,5,14,null,null,null,null,null,null,3,null
Lunatick,null,null,null,null,null,null,null,null,null,null,14
"Lunatick, Distracted and Frenzy",null,null,null,14,11,12,null,null,null,null,null
Meagrome,7,6,null,null,null,null,null,null,null,null,null
Megrims and Head-ach,null,null,null,null,null,null,3,null,12,null,null
